Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,mean_work_hours
51,0.0,2,2,6,2,1,1,1,0.0,1,0,1.0,131160,1.0,0,11,8,0,1.0,6,1,0,3,3,3.0,4.0,2.0,7.373650622605364
31,1.0,1,1,10,1,1,1,2,0.0,1,6,2.0,41890,0.0,0,23,8,1,6.0,3,5,1,2,4,3.0,2.0,4.0,7.718968926553672
32,0.0,1,1,17,4,4,1,3,1.0,4,7,1.0,193280,1.0,0,15,8,3,5.0,2,5,0,3,3,2.0,2.0,1.0,7.013240358126722
38,0.0,0,1,2,5,1,1,4,1.0,3,1,1.0,83210,3.0,0,11,8,3,13.0,5,8,7,2,3,4.0,4.0,3.0,7.193678486997636
32,0.0,2,1,10,1,3,1,5,1.0,1,7,2.0,23420,4.0,0,12,8,2,9.0,2,6,0,3,3,4.0,1.0,3.0,8.006174603174602
46,0.0,2,1,8,3,1,1,6,0.0,4,5,1.0,40710,3.0,0,13,8,0,28.0,5,7,7,3,3,3.0,2.0,2.0,10.79609587435537
28,1.0,2,1,11,2,3,1,7,1.0,2,7,2.0,58130,2.0,0,20,8,1,5.0,2,0,0,3,4,1.0,3.0,1.0,6.923570402298851
29,0.0,2,1,18,3,1,1,8,1.0,2,7,1.0,31430,2.0,0,22,8,3,10.0,2,0,0,3,4,1.0,2.0,3.0,6.725620713305898
31,0.0,2,1,1,3,1,1,9,1.0,3,2,1.0,20440,0.0,0,21,8,0,10.0,2,9,7,3,4,2.0,4.0,3.0,7.236498792270532
25,0.0,0,1,7,4,3,1,10,0.0,4,2,0.0,134640,1.0,0,13,8,1,6.0,2,6,1,3,3,2.0,1.0,3.0,7.080087844254511
45,0.0,2,1,17,2,3,1,11,1.0,2,2,1.0,79910,0.0,0,13,8,2,21.0,2,20,4,2,3,3.0,4.0,3.0,8.403485477178425
36,0.0,2,1,28,1,1,1,12,1.0,1,2,1.0,33770,0.0,0,12,8,2,16.0,2,15,10,3,3,3.0,4.0,3.0,7.0689545873674495
47,1.0,0,1,1,1,3,1,14,1.0,1,6,1.0,57620,1.0,0,11,8,2,10.0,4,10,9,2,3,1.0,2.0,2.0,9.399931442080378
28,0.0,2,1,1,3,1,1,15,1.0,1,4,1.0,25920,1.0,0,14,8,0,5.0,2,5,0,3,3,4.0,4.0,2.0,6.08968764407561
37,0.0,2,1,1,3,1,1,16,1.0,2,0,1.0,53460,4.0,0,11,8,0,7.0,2,5,0,3,3,3.0,4.0,4.0,6.705174636661979
21,0.0,2,1,3,2,1,1,17,1.0,1,2,2.0,42130,1.0,0,12,8,3,3.0,3,3,1,2,3,4.0,3.0,4.0,6.619040626529613
37,0.0,0,1,1,3,3,1,18,1.0,2,7,0.0,41270,2.0,0,13,8,1,15.0,2,5,0,3,3,1.0,4.0,3.0,11.014328139114726
35,0.0,2,2,7,4,1,1,19,1.0,1,8,0.0,24380,7.0,0,16,8,0,10.0,5,7,6,2,3,2.0,2.0,2.0,6.960253831417624
38,0.0,2,1,8,3,1,1,20,0.0,1,3,0.0,68700,1.0,0,11,8,1,8.0,5,8,7,3,3,1.0,1.0,3.0,9.293555796055795
26,0.0,1,1,1,4,4,1,21,1.0,2,2,0.0,104470,1.0,0,18,8,0,6.0,3,6,1,3,3,3.0,2.0,1.0,7.590778256704981
50,0.0,2,2,8,4,1,1,22,1.0,1,6,0.0,96670,3.0,0,23,8,0,28.0,2,10,1,2,4,1.0,2.0,2.0,6.008613495469718
53,0.0,2,1,11,4,1,1,23,0.0,2,6,1.0,21480,3.0,0,11,8,0,21.0,2,5,1,3,3,3.0,3.0,2.0,8.402108477011494
42,0.0,2,1,4,4,1,1,24,1.0,1,4,1.0,89260,1.0,0,14,8,0,11.2,4,20,11,1,3,2.0,3.0,3.0,6.8070052800734615
29,0.0,1,1,16,4,3,1,25,1.0,1,2,2.0,65130,1.0,0,11,8,1,10.0,2,10,0,3,3,2.0,4.0,2.0,7.093167388167388
